committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,cycle,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt,timestamp
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,2015,M2,15970309443,29,63498043,999182,COM,OTHER COMMITTEE,,,VIRGINIA HOUSE REPUBLICAN CAMPAIGN COMMITTEE,VA,,,,,,,,2015-01-05 00:00:00,7500.00,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-11-05 20:29:10.06032,,,,0.00,,,,011,Political Contributions,,,,,,,2016,F3X,4032120151240905827,FREDERICKSBURG,224052308,OTHER,,2016,SB,4032320151240923816,http://docquery.fec.gov/cgi-bin/fecimg/?15970309443,Other Disbursements,,,,,,,2017-11-05 20:29:10.06032
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,2015,M2,15970309443,29,63498044,999182,ORG,ORGANIZATION,,,"COLORADO LEADERSHIP FUND, LLC",CO,,,,,,,,2015-01-05 00:00:00,1000.00,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-11-05 20:29:10.06032,,,,0.00,,,,011,Political Contributions,,,,,,,2016,F3X,4032120151240905827,DENVER,80201,OTHER,,2016,SB,4032320151240923817,http://docquery.fec.gov/cgi-bin/fecimg/?15970309443,Other Disbursements,,,,,,,2017-11-05 20:29:10.06032
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,2015,M2,15970309443,29,63498045,999182,COM,OTHER COMMITTEE,,,"COLORADO SENATE MAJORITY FUND, LLC",CO,,,,,,,,2015-01-05 00:00:00,1000.00,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-11-05 20:29:10.06032,,,,0.00,,,,011,Political Contributions,,,,,,,2016,F3X,4032120151240905827,DENVER,80205,OTHER,,2016,SB,4032320151240923818,http://docquery.fec.gov/cgi-bin/fecimg/?15970309443,Other Disbursements,,,,,,,2017-11-05 20:29:10.06032
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,2015,M2,15970309444,29,63498097,999182,COM,OTHER COMMITTEE,,,LARRY HOGAN FOR GOVERNOR,MD,,,,,DEBT RETIREMENT,,,2015-01-05 00:00:00,4000.00,,,,,"HOGAN, LARRY",LARRY,HOGAN,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-11-05 20:29:10.06032,,,,0.00,,,,011,Political Contributions,,,,,,,2016,F3X,4032120151240905827,ANNAPOLIS,21401,OTHER,DEBT RETIREMENT,2016,SB,4032320151240923819,http://docquery.fec.gov/cgi-bin/fecimg/?15970309444,Other Disbursements,,,,,,,2017-11-05 20:29:10.06032
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,2015,M2,15970309444,29,63498104,999182,COM,OTHER COMMITTEE,,,FRIENDS OF RON MARSICO,PA,,,,,DEBT RETIREMENT,,,2015-01-05 00:00:00,500.00,,,,,"MARSICO, RONALD REPRESENTA",RONALD,MARSICO,,REPRESENTA,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-11-05 20:29:10.06032,,,,0.00,,,,011,Political Contributions,,,,,,,2016,F3X,4032120151240905827,HARRISBURG,17112,OTHER,DEBT RETIREMENT,2016,SB,4032320151240923820,http://docquery.fec.gov/cgi-bin/fecimg/?15970309444,Other Disbursements,,,,,,,2017-11-05 20:29:10.06032
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,2015,M2,15970309444,29,63498105,999182,COM,OTHER COMMITTEE,,,FRIENDS OF TAG GREASON,VA,,,,,"THOMAS GREASON, STATE HOUSE 32ND VA",,,2015-01-05 00:00:00,500.00,,,,,"GREASON, THOMAS A",THOMAS,GREASON,A,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-11-05 20:29:10.06032,,,,0.00,,,,011,Political Contributions,,,,,,,2016,F3X,4032120151240905827,LANSDOWNE,20176,OTHER,"THOMAS GREASON, STATE HOUSE 32ND VA",2016,SB,4032320151240923821,http://docquery.fec.gov/cgi-bin/fecimg/?15970309444,Other Disbursements,,,,,,,2017-11-05 20:29:10.06032
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,2015,M2,15970309438,21B,63945170,999182,ORG,ORGANIZATION,,,NATIONAL RIFLE ASSOCIATION OF AMERICA,VA,,,,,WEBSITE HOSTING / SERVICE FEE,,,2015-01-05 00:00:00,1500.00,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-11-05 20:29:10.06032,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,2016,F3X,4032120151240905827,FAIRFAX,22030,OTHER,WEBSITE HOSTING / SERVICE FEE,2016,SB,4032320151240923827,http://docquery.fec.gov/cgi-bin/fecimg/?15970309438,Other Federal Operating Expenditures,,,,,,,2017-11-05 20:29:10.06032
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,2015,M2,15970309439,21B,63945171,999182,ORG,ORGANIZATION,,,TENNESSEE REGISTRY OF ELECTION FINANCE,TN,,,,,ANNUAL FILING FEE,,,2015-01-05 00:00:00,100.00,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-11-05 20:29:10.06032,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,2016,F3X,4032120151240905827,NASHVILLE,37243,OTHER,ANNUAL FILING FEE,2016,SB,4032320151240923828,http://docquery.fec.gov/cgi-bin/fecimg/?15970309439,Other Federal Operating Expenditures,,,,,,,2017-11-05 20:29:10.06032
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,2015,M2,15970309442,23,63659681,999182,CCM,CAMPAIGN COMMITTEE,C00512236,C00512236,MCSALLY FOR CONGRESS,AZ,MCSALLY FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,DEBT RETIREMENT,,,2015-01-12 00:00:00,2500.00,H,HOUSE,02,H2AZ08102,"MCSALLY, MARTHA MS.",MARTHA,MCSALLY,,,MS.,AZ,ARIZONA ,G2014,GENERAL DEBT 2014,GENERAL,2014,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-11-05 20:29:10.06032,,,,0.00,,,,011,Political Contributions,,,,,,,2016,F3X,4032120151240905827,TUCSON,85731,CONTRIBUTIONS,DEBT RETIREMENT,2016,SB,4032320151240923822,http://docquery.fec.gov/cgi-bin/fecimg/?15970309442,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,2017-11-05 20:29:10.06032
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,2015,M2,15970309439,21B,64387946,999182,ORG,ORGANIZATION,,,"WELLS FARGO BANK, N.A.",VA,,,,,ACCOUNT ANALYSIS FEE,,,2015-01-12 00:00:00,249.50,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-11-05 20:29:10.06032,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,2016,F3X,4032120151240905827,MCLEAN,22101,OTHER,ACCOUNT ANALYSIS FEE,2016,SB,4032320151240923829,http://docquery.fec.gov/cgi-bin/fecimg/?15970309439,Other Federal Operating Expenditures,,,,,,,2017-11-05 20:29:10.06032
